arabic_name,english_name
الغيل,Al-Ghayl
المجارب,Al-Majarib
الصنمه,Al-Sunmah
الرقعه,Al-Ruq'ah
الزهيرة, Al-Zuhaira
وادي المعقم,Wadi Al-Mu'aqam
جديمه,Jadima
الضيجه,Ad-Dhayjah
الدردعى,Ad-Darda'i
البقرين,Al-Baqrayn
الحرف,Al-Harf
الحصب,Al-Hasab
الماقبه,Al-Maqbah
القحفة,Al-Qahfah
القبه,Al-Qubbah
عراكبه,Arakbah
الشقتين,Ash-Shuqatayn
الصريح,As-Sarih
التعبره,At-Ta'barah
ضاربة الحصب,Daribah Al-Hasab
حصب حميدالمجزع,Hasab Hamid Al-Majza'
احوال كريف,Ahwal Krif
القحفــه,Al-Qahfa
السويهره,Al Suwayhira
جويب,Juwayb
الروينه,Al Ruwayna
العوينه,Al-Awaina
البارز,Al-barez
الذنبه,Al-Dhanba
المعاين,Al-muaeen
الراكبه,Al-rakbah
الرمادي,Al-ramady
دارالقعموس,Dar al-Qa'mus
كبة القوبز,Kubbat al-Qubz
قطيع الحمره,Qateea Alhamrah
الطور,the Tur
السويهره - الجوبر,Al Suwayhira -Al-Jawbar
الادروس,Al-Adrous
الهنقوب,Al-Hanqoub
المعابده,Al-Ma'abdah
المداور,Al-Madawer
المودقه,Al-Mawdaqah
بيت القضيب,Bayt Al-Qadib
شعب الزريعي,Sha'ab Al-Zari'i
شعب حمر,Sha'ab Hamr
شعب سويد,Sha'ab Suwaid
الادروس,Al-Adrus
خباثه,Khabathah
العفيرة,Al-Afira
الدحاح,Ad-Dahah
الابرحه,Al-Abraha
الاكمة,Al-Akma
العارضة,Al-Aridah
الحرضة,Al-Harada
الجويح,Al-Juwayh
المدافن,Al-Madafin
المذاليع,Al-Madhali'
المحطه,Al-Mahatta
المجزع,Al-Majza'
المناقد,Al-Manaqid
المرازم,Al-Marazim
النجارة,An-Najara
الرجاح,Ar-Rajah
الركيب,Ar-Rakib
الروضة,Ar-Rawda
خرشبة,Kharshaba
العفيرة,Al-Afirah
الغبيل,Al-Ghabil
النزيهه,Al-Nazihah
القريعاء,Al-Qari'ah
رحنق,Rahnaq
العقمه,Al-Aqmah
العشه,Al-'Ash'ah
الدرابي,Al-Darabi
الضاحيه,Al-dhahyah
الغله,Al-Ghalah
الحنه,Al-Hanna
الجروبه,Al-Jarubah
الجوني,Al-Jawni
الجريبه,Al-Juraybah
المضبايه,Al-Madhbayah
المغلاء,Al-Maghla
الملحه,Al-Malhah
المقصاب,Al-Maqsab
المزحاجه,Al-Mazhajah
المضيلع,Al-Mudayli'
الملاقي,Al-Mulaqi
المقظظ,Al-Muqadhth
المريريه,Al-Murairiyah
القليعه,Al-Qali'ah
القرية,Al-qariah
القرين,Al-Qarin
القشيق,Al-Qashiq
الصراره,Al-Sarrah
الشمليه,Al-Shamaliyah
الشرج,Al-Sharj
حصب الحويج,Hasab Al-Huwayj
هيجة جبح,Hayjah Jabh
العقه,Al-Aqqa
الاقروض - العدنين,Al-Aqrouth -Al-Adnin
الاقروض - الجباه,Al-Aqrouth -Al-Jabah
الاقروض - المريقيب,Al-Aqrouth -Al-Muraikib
الاقروض - النجـد,Al-Aqrouth -Al-Najd
العراعر,Al-Ara'ir
القحيفـه,Al-Qahifa
نجد العراعر,Najd Al-Ara'ir
صوارحين,Sawarihin
العارضه,Al-Ardah
المناخ,Al-Manakh
حصب الطير,Hasab Al-Tayr
هيجة دويد,Hijah Duwaid
العارضه,Al-'Arida
اكمة البيضاء,Akmat Al-Bayda'
الدار,Al-Dar
الجديدة,Al-Jadida
الخراب,Al-Kharab
المروى,Al-Marwa
الميدام,Al-Midam
المحيصب,Al-Muhaysib
المناوب,Al-Munawwab
المشرفه,Al-Mushrifa
النبيع,Al-Nabi'
القرية السفلى,Al-Qarya Al-Sufla
القضاة,Al-Qudat
ضبيره,Dhabira
هجم العجل,Hajam Al-'Ajal
حصب عباد,Hasab 'Abbad
حصيب ياسين,Hasib Yasin
قرف الهاديه,Qarf Al-Hadiya
شعب الظافر,Sha'b Al-Dhafir
العرينه,Al-Arina
العريش,Al-Arish
العضيباء,Al-Adhiba
البراده,Al-Baradah
الدراغمه,Al-Daraghmah
الذنبه,Al-Dhanbah
الضويحه,Al-Dhuwayhah
الحرزه,Al-Harzah
الكاذيه,Al-Kadhiyah
المفرق,Al-Mafraq
المحاكله,Al-Mahaklah
المهرهره,Al-Mahrarah
المجش,Al-Majash
المخيشيقة,Al-Makhishiqah
المعيطه,Al-Mu'ayta
المنقد,Al-Munqad
الرشيح الاعلى,Al-Rashih Al-A'la
الرشيح الاسفل,Al-Rashih Al-Asfal
الرونه,Al-Rawnah
الروقين,Al-Ruqayn
السبله,Al-Sabla
الصوفه,Al-Sufah
التماره,Al-Tamarah
العشيرة,Al-Ashira
المتاهلين,Al-Mutahilin
عوده,Awda
حرثه,Hartha
الاتيمه,Al-Atima
العرمه,Al-Armah
البرح الاحمر,Al-Barh Al-Ahmar
الدوش,Al-Doush
الهداله,Al-Hadalah
الجاهلي,Al-Jahili
الكنايه,Al-Kinaya
القحاره,Al-Qahara
وادي رين,Wadi Rin
الازيود,Al-Azyoud
العرج,Al-'Arj
العشروقة,Al-'Ashruka
الضباية,Al-Dhabaya
الحدقة,Al-Hadqa
الكدام,Al-Kadam
المعاقم,Al-Ma'aqim
المجرانيه,Al-Majraniya
المهاجمة,Al-Muhajima
الروينة,Al-Ruwayna
السليع,Al-Sali'
الشعيب,Al-Shu'ayb
الشويكة,Al-Shuwayka
الزريقاء,Al-Zariqa'
دار الراعي,Dar Al-Ra'i
محجر راعى,Mahjar Ra'i
البحيح,Al-Bahih
البليلي,Al-Balili
العكش,Al-Akash
الدربوش,Al-Darboush
النقيرة,Al-Nuqayra
الساحرة,Al-Sahira
عزان,Azzan
مكان الحمير,Makan Al-Hamir
قواح,Qawah
الدييمه,Al-Daymah
البطاح,Al-Bataah
هيجةجهلان,Hayjah Jahlan
الظهر,Al-Dhahr
اكمه الحدادين,Akmat Al-Haddadin
الظهرالاعلى,Al-Dhahr Al-A'la
الظهرالاسفل,Al-Dhahr Al-Asfal
المحجوره,Al-Mahjoura
نعمان,Nu'man
الضيجه,Al-Dhayjah
العلبه,Al-'Albah
العوده,Al-'Awdah
المشاجب,Al-Mashajeb
النوبه,Al-Nawbah
النويدره,Al-Nuwaidrah
الراحه,Al-Raha
الزريعي,Al-Zurai'i
هيجة العكش,Hayjah Al-'Akash
شعب الذيب,Sha'ab Al-Dhib
شعبه المعلامه,Sha'bat Al-Ma'alamah
الحد - الضويحه,Al-Dhuwayhah
العريقه,Al-Ariqa
العواس,Al-Awas
العواطف,Al-Awatif
الغيبر,Al-Ghaybar
الحدبه الحمراء,Al-Hadba Al-Hamra
الحنجره,Al-Hanjara
الحقافر,Al-Haqafir
الحوص,Al-Hawas
الجورهه,Al-Jawra
القديمة,Al-Qadima
الطمير,Al-Tamir
بيت رشاح,Bayt Rashah
بيت سلوين,Bayt Salwin
الفحيشيه,Al-Fahishiya
الفحيشيه (بدو رحل ),Al-Fuhayshiyah (Bedouin nomads)
الغريف,Al-Gharif
المجزره,Al-Majzarah
المشيعير,Al-Mushay'ir
حبوة الموينس,Habwah Al-Muwaynis
طره الجويعي,Tarah Al-Juway'i
طرة الجعيره,Tarrah Al-Ja'irah
الغرافي,Al-Gharrafi
العداين,Al-Adain
الاعقاص,Al-Aqas
البوالع,Al-Bawali
الدخل,Al-Dakhil
الفاترة,Al-Fatira
الحبشة,Al-Habasha
الحدبة,Al-Hadba
الحياطة,Al-Hayata
الجدير,Al-Jadir
الخيريان,Al-Khairiyan
القشب,Al-Qashb
الشبيقات,Al-Shabiqat
اليمنة,Al-Yamana
الزقيرية,Al-Zaqiriya
دومة الصبيحي,Dumat Al-Subaihi
جبل عكى,Jabal Aka
جاعمة,Ja'ma
الاكحل,Al-Akhal
العقبه,Al-Aqaba
العقيقين,Al-Aqiqayn
العرجوش,Al-Arjush
العصفوريه,Al-Asfuriya
العزيبه,Al-Aziba
البكره,Al-Bakrah
الضويحه,Al-Dhuwayha
الفقوة,Al-Faqwa
الحفيره,Al-Hafira
الحجفه,Al-Hajfah
الحجره,Al-Hajra
الحثن,Al-Hathn
الحصن,Al-Hisn
الجنه,Al-Janna
الخومله,Al-Khumla
المورخ,Al-Murakh
النوبه الشاكرية,Al-Nuba Al-Shakriya
القشايب,Al-Qashayib
الرادع,Al-Rad'
الرواع,Al-Rawaa
الصفريه,Al-Safriya
الشجنه,Al-Shajna
الشعيب,Al-Shuaib
عراصو,'Arasu
عريدان,Aridan
داجنه,Dajna
دارالسلام,Dar Al-Salam
ذاحيان,Dhahyan
حصب العزيبه,Hasab Al-Aziba
خبخب,Khabkhab
شط الحامي,Shat Al-Hami
شط علي,Shat Ali
الغوبقه,Al-Ghubaqah
الاطوار,Al-Atwar
الحقيبه,Al-Haqibah
الهندى,Al-Hindi
الجنيجره,Al-Junayjirah
المعلم,Al-Mu'allim
المنيقد,Al-Munayqid
القطاطه,Al-Qatatah
الردع,Al-Rad'
حصب النقود,Hasab Al-Nuqud
الحد,Al-Had
العقوره,Al-'Aqurah
الهيجه,Al-Hayjah
الحجير,Al-Hujayr
الهليبه,Al-Hulaybah
المراتمه,Al-Maratimah
القحقاح,Al-Qahqah
الصباريه,Al-Sabariyyah
عقار,'Aqar
الحدابيه,Al-Hadabiyah
الحدبه السفلى,Al-Hadbah Al-Sufla
الحدبه العليا,Al-Hadbah Al-'Ulya
بلد الساده,Balad Al-Sadah
الحجافيه,Al-Hajafiyah
العيصم,Al-Aysam
الدحيم,Al-Duhaym
داردعسين,Darda'sin
جبل البعيصي,Jabal Al-Ba'isi
جبل الدامر,Jabal Al-Damir
جبل الدبيزل,Jabal Al-Dubayzil
جبل الحداد,Jabal Al-Haddad
جبل قراد,Jabal Qarad
الحجاريه,Al-Hajariya
الماجليه,Al-Majliya
المعترض,Al-Mu'tarid
الهاملي,Al-Hamli
العميريه,Al-Amiriyah
الدربنه,Al-Darbana
الحصينه,Al-Husaynah
الجبيل,Al-Jubayl
الكدره,Al-Kadrah
المقرعي,Al-Muqra'i
النوبه,Al-Nubah
السلطنه,Al-Sultanah
السوهره,Al-Suwahrah
الحمراء,Al-Hamra
ذياب,Dhiab
الحنجرة بدو رحل,Al-Hanjarah (Bedouin nomads)
الحقل,Al-Haqal
العشة,Al-Ashah
الواد,Al-Wad
الحريقيه,Al-Hariqiya
قروش,Qurosh
الحرثه,Al-Harthah
المحور,Al-Mahwar
صبر,Sabr
الحصيب,Al-Hasib
النشه,Al-Nashah
الحياجي,Al-Hayaji
البياضيه,Al-Bayadiyah
الظهره,Al-Dhahra
الحبوه,Al-Habwa
الحمرة,Al-Hamra
الجراده,Al-Jaradah
المقضي,Al-Maqdi
المعطاب الاعلى,Al-Ma'tab Al-A'la
القاصب,Al-Qasib
السيال,Al-Sayyal
قشعة السبيل,Qash'at Al-Sabil
الحيمه,Al-Haymah
البريحان,Al-Barihan
الدلعمه,Al-Dal'amah
المجاربة,Al-Majaribah
الحييمة,Al-Haymah
المبياضه,Al-Mubayadah
الشوصره,Al-Shawsirah
الشقيره,Al-Shuqayrah
عقبه,Aqabah
ضورين,Dhurin
حصب الماس,Hasab Al-Mas
هوب مجلي,Hub Majli
الحجج,Al-Hujaj
جرجوح,Jarjuh
الحجيره,Al-Hujayrah
الهيوج,Al-Hayyuj
المهجم الاعلى,Al-Mahjam Al-A'la
المهجم الاسفل,Al-Mahjam Al-Asfal
المحكمه,Al-Mahkama
المصافره,Al-Musafirah
الهليبي,Al-Hulaibi
الجريب,Al-Jarib
البزيه,Al-Baziyah
الشبع,Al-Shaba
جبل النار,Jabal Al-Nar
طوره,Turah
طوربصير,Turbasir
وادي الكبير,Wadi Al-Kabir
الجروبة,Al-Jarouba
الدابوليا,Al-Daboulia
الدويرة,Al-Duwaira
الصويلح,Al-Suwailih
الجبال,Al-Jibal
الصرادح,Al-Saradih
الجبيه,al-Jubayyah
الحجيج,al-Hajjaj
الحنيني,al-Hunayni
الجويح,al-Juwayh
الكدمة,al-Kadmah
الكاحب,al-Kahib
المهيوب,al-Mahyoub
المجزع,al-Majza'
المكيمل,al-Mukaymil
القرف,al-Qarf
القصبه,al-Qasbah
الوسيطان,al-Wasitayn
خدية,Khadiyah
الجمعة,Al-Jum'ah
العنصبة,Al-'Ansaba
البرادقة,Al-Baradiqa
الغاوى,Al-Ghawy
الخنيق,Al-Khaniq
المحل,Al-Mahal
الرمادة,Al-Ramada
الصدة,Al-Sadda
يالول,Yalul
الكدحه,Al-Kadha
العبدلي,Al-Abdali
العريق,Al-Areeq
الحيدريه,Al-Haydariya
الجديد,Al-Jadeed
الجافر,Al-Jafir
الكداح,Al-Kaddah
المعقر,Al-Ma'qar
السفيدة,Al-Safida
الوطن,Al-Watan
بئر عقيل,Bir Aqeel
بئر حنيش,Bir Hanish
حدبه نقيط,Hadbah Naqit
الكديحة,Al-Kadiha
الجديدة,Al-Jadidah
المشقر,Al-Mushaqqar
طنح,Tanh
الكديحة,Al-Kadihah
الباقرية,Al-Baqiriyah
الحسنيه,Al-Hasaniyah
السماسم,Al-Samasim
حسىالحافى,Hassi Al-Hafi
استرح,Istarh
الكدمه,Al-Kadmah
العلقميه,Al-Alqamiyah
الحوجب,Al-Hawjab
المقالد,Al-Maqalid
القوز,Al-Qawz
الصيره,Al-Sirah
الزوين,Al-Zuwain
قرى الحاج,Qura Al-Hajj
شنـص,Shans
وادى علي,Wadi Ali
الكربه,Al-Karbah
الاجن,Al-Ajan
الحمرور,Al-Hamrur
الكربة السفلى,Al-Karbah Al-Sufla
القر,Al-Qar
الر حاب,Al-Rahab
الزيديه,Al-Zaidiyah
الزوه,Al-Zawah
الخباه,Al-Khabah
الخضراء,Al-Khadra
الخيفه,al-Khaifah
دهل الديمه,Dahl al-Dima
الخنهه,Al-Khanah
العقير,Al-Aqir
القلعه,Al-Qal'ah
الرحب,Al-Rahab
الكويحه,Al-Kuwayhah
اكمه الرماد,Akmat Al-Ramad
الاجراف,Al-Ajraf
الداهره,Al-Dahira
الذنيبه,Al-Dhanibah
الذراع,Al-Dhra'
الحضين,Al-Hadhin
الحماريه,Al-Hamariya
الجبانة,Al-Jabana
المبراع,Al-Mabra'
القحيفة,Al-Qahifah
القشيبه,Al-Qashibah
السقايه,Al-Saqaya
بيت الشريف,Bayt Al-Sharif
شعب شقير,Sha'ab Shuqayr
المعامرة,Al-Ma'amara
العتاة,Al-'Ata
الذنبة,Al-Dhanba
الجربه,Al-Jarba
المغر بة,Al-Maghriba
الشط,Al-Shatt
الزبيرة,Al-Zubayra
المعامرة,Al-Ma'amrah
الحفيظة,Al-Hafizah
الحفره,Al-Hafra
الخنيف,Al-Khanif
الساحلي,Al-Sahili
المبذل,Al-Mabdhil
الجعاديه,Al-Ja'adiyah
المسيحه,Al-Masihah
المتون,Al-Mutun
النقاحه,Al-Naqahah
القحفه,Al-Qahfah
المغدر,Al-Maghdar
الاكمـه,Al-Akma
المقيبره,Al-Maqibra
عركبه,Arqaba
بئر مالك,Bir Malik
زبوره,Zabura
الملك,Al-Malik
المناصيب,Al-Manasib
دار الخبت,Dar Al-Khabt
المقلب,Al-Maqlab
الابراح,Al-Abrah
الفنخه,Al-Fankhah
الحويص,Al-Huways
الكدن,Al-Kadan
الخويفه,Al-Khuwayfah
المدروك,Al-Madrouk
الركيبه,Al-Rukaybah
الصناعه,Al-Sina'ah
الوادي,Al-Wadi
برح العميره,Barh Al-'Amirah
شط عقاب,Shat 'Uqab
المعصرة,Al-Ma'sara
عبدالقادر,Abdul Qadir
البيت الاسفل,Al-Bayt Al-Asfal
الذاري,Al-Dhari
المحكمة,Al-Mahkama
المطرح,Al-Matrah
المزانده,Al-Mazanda
البطنه,Al-Batnah
الضاربه,Al-Daribah
الفاحم,Al-Fahim
الحجريه,Al-Hajariya
الحصبري,Al-Hasbari
المحالب,Al-Mahalib
المناصب,Al-Manasib
المرقاب,Al-Mirqab
النجد الاعلى,Al-Najd Al-A'la
النجد الاسفل,Al-Najd Al-Asfal
الناصي,Al-Nasi
الزحط,Al-Zaht
دمنة الشرف,Damnat Al-Sharaf
دار جيهلان,Dar Jihlan
ضراعه,Dhara'ah
هيجة حقر,Hayjah Haqr
جرابه,Jarabah
خوصانه,Khawsana
شعب الوحشين,Sha'b Al-Wahshayn
الميدان,Al-Midan
نجد الميدان,Najd Al-Midan
شعب الحاج,Shaab Al-Hajj
المخاء,Al-Mukha
عبد القادر,'Abd Al-Qadir
ابو أسماعيل,Abu Isma'il
العمودي,Al-'Amudi
العروك,Al-'Arouk
الحالي,Al-Hali
الجعدي,Al-Ja'di
المدينة,Al-Madinah
الميناء,Al-Mina'
المغيني,Al-Mughini
القاهرة,Al-Qahirah
الشاذلي,Al-Shadhili
السويس,Al-Suways
المقيصع,Al-Muqaysi'
البهيشة,Al-Bahisha
البقاصة,Al-Baqasa
الفريخه,Al-Farikha
الغوشه,Al-Ghusha
الحفيظه,Al-Hafizah
الهطيط,Al-Hutayt
العراقي,Al-'Iraqi
المعسار,Al-Ma'sar
المطهف,Al-Mutahhaf
القشوبع,Al-Qashub'
القواسمه,Al-Qawasima
القربة,Al-Qurba
الرجيم,Al-Rajim
الشعب,Al-Sha'b
الشجيبة,Al-Shujayba
السريبه,Al-Suraybah
الطهبله,Al-Tahbalah
الطنيحه,Al-Taniha
بيت العميره,Bayt Al-'Amira
الموسنه,Al-Musinah
الحميده,Al-Hamidah
القطيعه,Al-Qati'ah
الطاهري,Al-Tahir
دار العنبى,Dar Al-'Anabi
دارالكدف,Dar Al-Kadif
دارعلوان,Dar 'Alwan
حسى الاحمر,Hasi Al-Ahmar
حسى الحراز,Hasi Al-Haraz
حصيب الغريماء,Hasib Al-Gharimah
النوازل,Al-Nawazil
العكده,Al-'Akdah
الاملاك,Al-Amlak
العروض,Al-'Arud
الداخله,Al-Dakhilah
الحروره حصــه,Al-Harura Hissa
الهنيميـه,Al-Hunaymiya
الخرائب,Al-Khara'ib
الملعب الاعلى,Al-Mal'ab Al-A'la
المثعوب,Al-Math'ub
المصلاب,Al-Musallab
النقيل,Al-Naqil
القفاعية,Al-Qafa'iya
القحفه,Al-Qahfa
القبه,Al-Qubba
الصلعـي,Al-Sal'i
الشعوب,Al-Shu'ub
الزريبه,Al-Zariba
اوجافــه,Awjafa
ذي خير,Dhi Khayr
جبل حازمي,Jabal Hazmi
كفائه,Kafa'a
نجدالجرف,Najd Al-Jarf
نجد قسيم,Najd Qasim
النوبه,Al-Nawba
الحجاجيه,Al-Hajjajiyah
المعيعه,Al-Mu'ayyah
المقطرن,Al-Muqatran
الطريره,Al-Tarirah
القحيزه,Al-Qahizah
الاعصره,Al-A'sarah
القحيزه,al-Qahizah
البيضاء,al-Bayda'
الجبه,Al-Jabhah
الكبه,al-Kabbah
المضاحي,Al-Madhahi
الشعب,Al-Sha'ab
حاضيه العليا,Hadhiya al-Ulya
حوجله,Hawjalah
نمر,Nimr
القاعده,Al-Qa'idah
المحرقه,Al-Muharraqah
النوبة,Al-Nawbah
القطف,Al-Qatif
القمبرية,Al-Qambariyah
البرحه,Al-Barhah
القشعه,al-Qash'a
شعبة النجد,Sha'bat al-Najd
القشعه,Al-Qash'ah
القشعه,al-Qash'ah
الاسبال,Al-Asbal
الكبب,Al-Kabab
الخرابه,Al-Kharaba
المحجر,Al-Mahjar
المقروضي,Al-Maqrudhi
المعطابه العليا,Al-Ma'tabah Al-Ulya
الموبره,Al-Mawbarah
المقره,Al-Muqrah
القريه,Al-Qaryah
الرشحه,Al-Rashah
دعلج,Da'laj
قحفة الحراز,Qahfat Al-Haraz
شعب البير,Sha'b Al-Bir
شعب الرصد,Sha'b Al-Rasd
زبيد,Zubayd
القطين,Al-Qateen
القطين,AL-Qateen
الاشراف,Al-Ashraf
المحيلبة,Al-Mahilba
القبع,Al-Qaba
القحاف,Al-Qahaf
الصرم,Al-Sarim
قراضـه,Qaradha
سحـر,Sahar
ذا العبار,Tha Al-Abar
القطنه,Al-Qatna
البياضيه,Al-Bayadiya
البيحاني,Al-Bayhani
الحرزه,Al-Harza
النوبه,Al-Nuba
القرف الاعلى,Al-Qarf Al-A'la
القرف الاسفل,Al-Qarf Al-Asfal
الشرف,Al-Sharaf
التوبره,Al-Tawbara
هيجة ياسين,Hijat Yasin
رجحة المسجد,Rajhat Al-Masjid
رجحه الطور,Rajhat Al-Tour
الرباعنه,Al-Raba'nah
الغابره,Al-Ghabirah
الغارب,Al-Gharib
المضابي,Al-Madhabi
المراون,Al-Marawin
المسوادة,Al-Maswadah
السويداء,Al-Suwaydah
التعبره,Al-Ta'abrah
الردف,Al-Radf
الحمره,Al-Hamrah
الجشيم,Al-Jashim
المهريق,Al-Mahriq
المنيهر,Al-Munayhir
النشيم,Al-Nashim
القطيف,Al-Qatif
الرحية,Al-Rahiyah
الروقنه,Al-Rawqnah
الشاقه,Al-Shaqa
بعشيره,Ba'shirah
حصب الدور,Hasab Al-Dur
شعب الحشور,Sha'ab Al-Hashur
شعب حزام,Sha'b Hizam
شرج الذئب,Sharj Al-Dhib
سدوح,Suduh
وادي الرويعي,Wadi Al-Ruwa'i
الرجحه,Al-Rajha
الهشام,Al-Hasham
الرجحه,Al-Rajhah
الدبيله,Al-Dabilah
الهبيله,Al-Habilah
الهجينه,Al-Hajinah
المحابيل,Al-Mahabil
الرويس,Al-Ruways
دبيلة الربوه,Dabilat Al-Rabwa
دارتميم,Dar Tamim
ثعوبه,Tha'uba
الرجمه,Al-Rajmah
الرباط,Al-Ribat
الركز,al-Rukz
العذير,al-'Adhir
الاعروق,al-'Aruq
المغربه العليا,al-Maghriba al-'Ulya
المزاحر,al-Mazahir
الزرائب,al-Zara'ib
عقمات,'Aqamat
شعب الصناع,Sha'b al-Sina'
شعب سويلم,Sha'b Suwaylim
السفالية,Al-Safaliyah
البقين,Al-Baqin
البوق,Al-Buq
ال حميدان,Al-Humaidan
الجحافي,Al-Jahafi
المحاوي,Al-Mahawi
المراعنه,Al-Mara'inah
الزعاترالسفلى,Al-Za'atir Al-Sufla
بلدالسيد,Balad Al-Sayyid
جهاد,Jihad
مراعنة الوادي,Mara'inah Al-Wadi
الصنمه,Al-Sanmah
العراميه,Al-'Aramiyah
الهجره,Al-Hijrah
الحصه,Al-Hisah
الخبيه,Al-Khabiyah
المسماره,Al-Masmarah
المنتصر,Al-Muntasir
القشيعه,Al-Qash'iyah
القشش,Al-Qashsh
الزنح,Al-Zanh
حارك النوبة,Harik Al-Nawbah
حريزه,Harizah
مكبر,Makbar
شط معوضه,Shat Mu'awwah
وادي هابة,Wadi Habah
الصـويره - العارضة,Al-Sawera- Al-Ardah
الصـويره - المربعه,Al-Sawerah-Al Murbah
الصـويره - البقور,Al-Sawerah-Al-Baqwr
الصـويره - الدارات,Al-Sawerah-Al-Darat
الصـويره - الحافة,Al-Sawerah-Al-Hafah
الصـويره - الهجمة,Al-Sawerah-Al-Hajmah
الصـويره - الحوبان,Al-Sawerah-Al-Hawban
الصـويره - الهوب,Al-Sawerah-Al-Hwb
الصـويره - الجباه,Al-Sawerah-Al-Jabah
الصـويره - الجبانة,Al-Sawerah-Al-Jabanah
الصـويره - الكــدم,Al-Sawerah-Al-Kadm
الصـويره - المعصرة,Al-Sawerah-Al-Ma'asrah
الصـويره - الموكبه,Al-Sawerah-Al-Mawkabah
الصـويره - النوبة,Al-Sawerah-Al-Nwbah
الصـويره - عزان,Al-Sawerah-Azzan
الصـويره - حمـر,Al-Sawerah-Hamr
الصـويره - جهمه,Al-Sawerah-Jahmh
الصـويره - محروضــه,Al-Sawerah-Mahroudah
الصـويره - قحفه العيدروس,Al-Sawerah-Qahfat Al-Aidaroos
الصـويره - شبارقه,Al-Sawerah-Shabarqah
الشباب,Al-Shabab
الشبارة,Al-Shabara
العضيلة,Al-Adhila
العليلة,Al-Alila
العويضه,Al-Awidah
الفريعة,Al-Fari'ah
الحدابه,Al-Hadaba
الحليصة,Al-Halisa
الحميدة,Al-Hamida
